(lat:37.2490331,lng:127.0830164)
(lat:37.2491964,lng:127.0834087)
(lat:37.2492373,lng:127.0835067)
(lat:37.2492786,lng:127.0836045)
(lat:37.2492786,lng:127.0836045)
(lat:37.2475447,lng:127.0763966)
(lat:37.2475474,lng:127.0765174)
(lat:37.2474138,lng:127.0767351)
(lat:37.2474138,lng:127.0767351)
(lat:37.2474173,lng:127.076845)
(lat:37.2474173,lng:127.076845)
(lat:37.2474209,lng:127.0769549)
(lat:37.2474244,lng:127.0770648)
(lat:37.2474257,lng:127.077175)
(lat:37.2474257,lng:127.0772852)
(lat:37.2474239,lng:127.0773954)
(lat:37.2474231,lng:127.0775056)
(lat:37.2474239,lng:127.0776158)
(lat:37.247368,lng:127.077678)
(lat:37.2474313,lng:127.077836)
(lat:37.2474383,lng:127.0779458)
(lat:37.2474383,lng:127.0779458)
(lat:37.2474408,lng:127.0780559)
(lat:37.2474412,lng:127.0781661)
(lat:37.2473784,lng:127.0784009)
(lat:37.2473784,lng:127.0784009)
(lat:37.247552,lng:127.0788136)
(lat:37.2474415,lng:127.0782763)
(lat:37.2475533,lng:127.0789344)
(lat:37.2475586,lng:127.0790551)
(lat:37.2475675,lng:127.0791754)
(lat:37.247552,lng:127.0785718)
(lat:37.2475804,lng:127.0792951)
(lat:37.2475985,lng:127.0794138)
(lat:37.2475985,lng:127.0794138)
(lat:37.247552,lng:127.0786927)
(lat:37.2475533,lng:127.0789344)
(lat:37.2476192,lng:127.0795319)
(lat:37.2476437,lng:127.0796487)
(lat:37.2476725,lng:127.0797641)
(lat:37.2476725,lng:127.0797641)
(lat:37.2470903,lng:127.0800548)
(lat:37.2470938,lng:127.0801605)
(lat:37.2470938,lng:127.0801605)
(lat:37.2471241,lng:127.0803848)
(lat:37.2471433,lng:127.0804819)
(lat:37.2471601,lng:127.0805658)
(lat:37.2472386,lng:127.0806936)
(lat:37.2473021,lng:127.0807639)
(lat:37.2473641,lng:127.0808364)
(lat:37.2474372,lng:127.0808897)
(lat:37.2474988,lng:127.0809627)
(lat:37.2475467,lng:127.0810501)
(lat:37.2475715,lng:127.0811511)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2486679,lng:127.0821112)
(lat:37.2487143,lng:127.0822172)
(lat:37.2487608,lng:127.0823232)
(lat:37.2488071,lng:127.0824293)
(lat:37.2489106,lng:127.0827222)
(lat:37.2489106,lng:127.0827222)
(lat:37.2489106,lng:127.0827222)
(lat:37.2489106,lng:127.0827222)
(lat:37.2489514,lng:127.0828203)
(lat:37.2489922,lng:127.0829183)
(lat:37.2490331,lng:127.0830164)
(lat:37.2490739,lng:127.0831145)
(lat:37.2491147,lng:127.0832125)
(lat:37.2491556,lng:127.0833106)
(lat:37.2491964,lng:127.0834087)
(lat:37.2491964,lng:127.0834087)
(lat:37.2491964,lng:127.0834087)
(lat:37.2491964,lng:127.0834087)
(lat:37.2475447,lng:127.0763966)
(lat:37.2471407,lng:127.0766546)
(lat:37.2473157,lng:127.0767286)
(lat:37.2473157,lng:127.0767286)
(lat:37.2473157,lng:127.0767286)
(lat:37.2474173,lng:127.076845)
(lat:37.2474209,lng:127.0769549)
(lat:37.2474244,lng:127.0770648)
(lat:37.2472,lng:127.077257)
(lat:37.247255,lng:127.07735)
(lat:37.24729,lng:127.077465)
(lat:37.24729,lng:127.077465)
(lat:37.247327,lng:127.077577)
(lat:37.247368,lng:127.077678)
(lat:37.2474253,lng:127.0777512)
(lat:37.2474383,lng:127.0779458)
(lat:37.2474383,lng:127.0779458)
(lat:37.2474408,lng:127.0780559)
(lat:37.2474412,lng:127.0781661)
(lat:37.2472897,lng:127.0784007)
(lat:37.2472897,lng:127.0784007)
(lat:37.2472897,lng:127.0784007)
(lat:37.247552,lng:127.0786927)
(lat:37.247552,lng:127.0788136)
(lat:37.2470654,lng:127.0793146)
(lat:37.2470509,lng:127.0788789)
(lat:37.2470583,lng:127.0791031)
(lat:37.2470548,lng:127.0789973)
(lat:37.2470761,lng:127.0796318)
(lat:37.247069,lng:127.0794203)
(lat:37.2470619,lng:127.0792088)
(lat:37.2470796,lng:127.0797376)
(lat:37.2470725,lng:127.0795261)
(lat:37.2470832,lng:127.0798433)
(lat:37.2470903,lng:127.0800548)
(lat:37.2470861,lng:127.0799338)
(lat:37.2472386,lng:127.0806936)
(lat:37.2472386,lng:127.0806936)
(lat:37.2471601,lng:127.0805658)
(lat:37.2473021,lng:127.0807639)
(lat:37.2473641,lng:127.0808364)
(lat:37.2473641,lng:127.0808364)
(lat:37.2474988,lng:127.0809627)
(lat:37.2470938,lng:127.0801605)
(lat:37.2471241,lng:127.0803848)
(lat:37.2475715,lng:127.0811511)
(lat:37.2470903,lng:127.0800548)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2472897,lng:127.0784007)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2489106,lng:127.0827222)
(lat:37.2487608,lng:127.0823232)
(lat:37.2489106,lng:127.0827222)
(lat:37.2489106,lng:127.0827222)
(lat:37.2488071,lng:127.0824293)
(lat:37.2489514,lng:127.0828203)
(lat:37.2489922,lng:127.0829183)
(lat:37.2487143,lng:127.0822172)
(lat:37.2490739,lng:127.0831145)
(lat:37.2475825,lng:127.0812562)
(lat:37.2490331,lng:127.0830164)
(lat:37.2490739,lng:127.0831145)
(lat:37.2490739,lng:127.0831145)
(lat:37.2490739,lng:127.0831145)
(lat:37.2490739,lng:127.0831145)
(lat:37.2490739,lng:127.0831145)
(lat:37.2490739,lng:127.0831145)
(lat:37.2470657,lng:127.0765646)
(lat:37.2475825,lng:127.0812562)
(lat:37.2471407,lng:127.0766546)
(lat:37.2472207,lng:127.0767196)
(lat:37.2475825,lng:127.0812562)
(lat:37.247128,lng:127.077168)
(lat:37.247128,lng:127.077168)
(lat:37.2472,lng:127.077257)
(lat:37.2472,lng:127.077257)
(lat:37.2471241,lng:127.0803848)
(lat:37.2475825,lng:127.0812562)
(lat:37.24729,lng:127.077465)
(lat:37.2472207,lng:127.0767196)
(lat:37.2470657,lng:127.0765646)
(lat:37.2472207,lng:127.0767196)
(lat:37.247327,lng:127.077577)
(lat:37.247368,lng:127.077678)
(lat:37.2474408,lng:127.0780559)
(lat:37.247201,lng:127.0784027)
(lat:37.247201,lng:127.0784027)
(lat:37.247201,lng:127.0784027)
(lat:37.2470344,lng:127.0786234)
(lat:37.247368,lng:127.077678)
(lat:37.247255,lng:127.07735)
(lat:37.2474383,lng:127.0779458)
(lat:37.2487143,lng:127.0822172)
(lat:37.2470421,lng:127.0787528)
(lat:37.2470421,lng:127.0787528)
(lat:37.2470509,lng:127.0788789)
(lat:37.2470548,lng:127.0789973)
(lat:37.2470583,lng:127.0791031)
(lat:37.2470619,lng:127.0792088)
(lat:37.2470654,lng:127.0793146)
(lat:37.247069,lng:127.0794203)
(lat:37.2470725,lng:127.0795261)
(lat:37.2470761,lng:127.0796318)
(lat:37.247201,lng:127.0784027)
(lat:37.2474313,lng:127.077836)
(lat:37.2470796,lng:127.0797376)
(lat:37.2470832,lng:127.0798433)
(lat:37.2470861,lng:127.0799338)
(lat:37.2470903,lng:127.0800548)
(lat:37.2470903,lng:127.0800548)
(lat:37.2470938,lng:127.0801605)
(lat:37.2470973,lng:127.0802663)
(lat:37.2471241,lng:127.0803848)
(lat:37.2471433,lng:127.0804819)
(lat:37.2471601,lng:127.0805658)
(lat:37.2472386,lng:127.0806936)
(lat:37.2473021,lng:127.0807639)
(lat:37.2473021,lng:127.0807639)
(lat:37.2473641,lng:127.0808364)
(lat:37.2473641,lng:127.0808364)
(lat:37.2475715,lng:127.0811511)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
(lat:37.2475825,lng:127.0812562)
